date,time,open,high,low,close,volume,turnover
20000427,0,18.0,18.55,16.01,17.42,68952800.0,118049931.60000001
20000428,0,17.01,19.16,16.81,19.16,30937800.0,56857699.5
20000508,0,21.08,21.08,20.68,21.08,16384200.0,34512434.0
20000509,0,21.58,23.1,20.71,21.45,42558600.0,92529995.0
20000510,0,21.35,22.49,20.5,21.7,19024100.0,41229781.4
20000511,0,21.55,21.65,19.53,19.8,21116200.0,42845869.699999996
20000512,0,19.7,20.95,19.66,20.2,9175300.0,18614471.400000002
20000515,0,20.19,20.19,19.17,19.51,5125200.0,10049765.799999999
20000516,0,19.5,20.2,19.2,19.8,3812400.0,7500344.4
20000517,0,19.8,20.2,19.56,19.62,3731000.0,7431050.5
20000518,0,19.55,20.39,19.25,20.09,5475700.0,10902018.2
20000519,0,20.11,20.95,19.9,20.4,6659800.0,13644576.0
20000522,0,20.5,21.24,20.3,21.24,6258000.0,12974780.7
20000523,0,21.5,21.6,20.63,20.96,5574200.0,11706530.3
20000524,0,20.89,21.31,20.7,20.93,5230600.0,10974722.6
20000525,0,20.93,21.3,20.58,20.8,5116300.0,10619536.9
20000526,0,20.8,20.8,20.38,20.39,4333700.0,8887901.4
20000529,0,20.39,20.8,20.0,20.53,3693500.0,7503329.9
20000530,0,20.58,20.7,20.0,20.1,3852400.0,7773011.500000001
20000531,0,20.0,20.45,19.8,20.06,2386200.0,4794235.0
20000601,0,20.05,20.39,20.0,20.1,2053500.0,4135062.1
20000602,0,20.15,20.31,19.8,20.0,3140800.0,6271232.100000001
20000605,0,20.0,20.1,19.59,19.68,3303100.0,6516537.1
20000606,0,19.8,21.65,19.7,21.65,8587800.0,18307336.900000002
20000607,0,22.93,23.33,21.8,21.95,15088200.0,33951969.1
20000608,0,21.9,21.95,21.0,21.3,5338700.0,11416476.4
20000609,0,21.2,21.69,20.71,20.8,3370400.0,7127819.7
20000612,0,20.68,22.66,20.52,22.25,6772600.0,14843645.499999998
20000613,0,22.25,22.45,21.86,22.08,4627100.0,10253201.799999999
20000614,0,22.11,22.6,21.68,21.76,3528400.0,7789455.800000001
20000615,0,21.68,22.5,21.65,22.05,2863800.0,6321176.2
20000616,0,22.2,22.88,21.7,21.81,3604600.0,8034616.4
20000619,0,21.7,21.99,21.52,21.55,2051200.0,4459790.1
20000620,0,21.5,21.71,21.2,21.25,1810000.0,3883961.4000000004
20000621,0,21.4,22.4,21.3,21.92,2967800.0,6494381.2
20000622,0,21.99,22.38,21.8,21.8,2742600.0,6051228.6
20000623,0,22.38,22.99,22.0,22.41,4989700.0,11294777.7
20000626,0,22.61,23.1,22.18,22.82,5300900.0,12054522.4
20000627,0,22.85,22.92,22.1,22.24,2933800.0,6575330.499999999
20000628,0,22.47,22.65,22.18,22.29,1639800.0,3669192.8
20000629,0,22.3,22.35,21.85,22.15,2266400.0,4992178.699999999
20000630,0,22.08,22.16,21.81,21.88,1664700.0,3651261.9
20000703,0,21.6,21.8,21.3,21.33,2059800.0,4427666.199999999
20000704,0,21.3,21.7,21.2,21.64,1401500.0,2993994.9
20000705,0,21.64,21.68,21.2,21.29,1474800.0,3142350.3000000003
20000706,0,20.94,21.39,20.94,21.28,1272900.0,2695800.7
